product_name,selling_price_inr,mrp_inr,discount_as_listed,discount_calculated,star_rating,specs,category,platform,source_url,scraped_at
"MOTOROLA g06 power (Pantone Tendril, 64 GB)",9999,,,,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",12499,13999,10,10.72,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"realme P4 Lite (Sea Blue, 128 GB)",10999,13999,21,21.43,4.4,4 GB RAM | 128 GB ROM17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)",15999,17999,11,11.11,4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"Ai+ Pulse 2 (Green, 128 GB)",9499,11999,20,20.84,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryT7250 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 64 GB)",12999,,,,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"POCO C85 5G (Power Black, 128 GB)",12999,14499,10,10.35,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Lithium-Ion Polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)",22999,24999,8,8.0,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"realme P4 Lite (Sea Blue, 64 GB)",9999,12999,23,23.08,4.4,4 GB RAM | 64 GB ROM17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"MOTOROLA g35 5G (Leaf Green, 128 GB)",13999,15499,9,9.68,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
