product_name,selling_price_inr,mrp_inr,discount_as_listed,discount_calculated,star_rating,specs,category,platform,source_url,scraped_at
"POCO M7 Plus 5G (Carbon Black, 128 GB)",14499,15999,9,9.38,4,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP Rear Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"POCO M8 (Glacial Blue, 128 GB)",17999,21999,18,18.18,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ Display50MP Rear Camera | 20MP Front Camera5520 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"vivo T5x 5G (Cyber Green, 256 GB)",26999,33999,20,20.59,4.5,8 GB RAM | 256 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"POCO C71 (Power Black, 128 GB)",9999,,,,4.1,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"vivo T4 Pro 5G (Blaze Gold, 256 GB)",29999,34999,14,14.29,4.5,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 256 GB)",32999,49999,34,34.0,4.4,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 13MP | 32MP Front Camera7000 mAh BatterySnapdragon 7s Gen 4 Processor1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"POCO C85x (Sunset Gold, 128 GB)",12499,14499,13,13.79,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) HD+ Display32MP Rear Camera6300 mAh Lithium-Ion Polymer BatteryT8300 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 64 GB)",12999,,,,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"realme P4x 5G (Lake Green, 128 GB)",17499,18999,7,7.9,4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO M7 5G - Locked with Airtel Prepaid (Ocean Blue, 128 GB)",12999,,,,3.7,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",13999,,,,4.4,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"MOTOROLA g35 5G (Midnight Black, 128 GB)",13999,15499,9,9.68,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"Ai+ Pulse 1 (Green, 64 GB)",7999,,,,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO M8 (Glacial Blue, 128 GB)",19999,22999,13,13.04,4.5,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ Display50MP Rear Camera | 20MP Front Camera5520 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",19999,22999,13,13.04,4.4,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"realme P4 5G (Forge Red, 128 GB)",19999,20999,4,4.76,4.4,6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"Tecno Spark Go 1 (Magic Skin Green, 64 GB)",6899,8599,19,19.77,4.3,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T61 Processor1 Year Manufacturer Warranty for Phone,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO F7 5G (Frost White, 256 GB)",35999,,,,4.4,"12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera | 20MP Front Camera7550 mAh Li-Polymer + Silicon Carbon Battery8s Gen 4 ProcessorRear Camera -50MP Main Camera -8MP Ultra-wide Camera with night mode and ultra-wide video recordingFront camera -20MP with Portrait Mode | | Front Video Recording | Night ModeDisplay -6.83 inch 1.5K pOLED with 120 Hz refresh rateBattery 7550mAh, 90W charger, 22.5W reverse charging1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"MOTOROLA g05 (Plum Red, 64 GB)",7299,9999,27,27.0,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO C85 5G (Mystic Purple, 128 GB)",14499,15499,6,6.45,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Lithium-Ion Polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"vivo T4x 5G (Pronto Purple, 128 GB)",18999,19499,2,2.56,4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"MOTOROLA Edge 70 Fusion (Pantone BLUE SURF, 128 GB)",26999,42999,37,37.21,4.4,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 13MP | 32MP Front Camera7000 mAh BatterySnapdragon 7s Gen 4 Processor1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"realme P4x 5G (Lake Green, 128 GB)",16499,17999,8,8.33,4.4,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"realme P4x 5G (Elegant Pink, 128 GB)",16499,17999,8,8.33,4.4,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO F7 5G (Frost White, 512 GB)",37999,,,,4.4,"12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera | 20MP Front Camera7550 mAh Li-Polymer + Silicon Carbon Battery8s Gen 4 ProcessorRear Camera -50MP Main Camera -8MP Ultra-wide Camera with night mode and ultra-wide video recordingFront camera -20MP with Portrait Mode | | Front Video Recording | Night ModeDisplay -6.83 inch 1.5K pOLED with 120 Hz refresh rateBattery 7550mAh, 90W charger, 22.5W reverse charging1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"vivo T4 5G (Phantom Grey, 128 GB)",24999,25999,3,3.85,4.5,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"Tecno Spark Go 2 (Titanium Grey, 64 GB)",7499,8999,16,16.67,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display13MP Rear Camera5000 mAh Lithium Polymer BatteryT7250 Processor1 Year Manufacturer Warranty for Phone,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"vivo T4x 5G (Marine Blue, 128 GB)",18999,19499,2,2.56,4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO C71  - Locked with Airtel Prepaid (Cool Blue, 64 GB)",8999,,,,3.9,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO C55 (Power Black, 64 GB)",9499,11999,20,20.84,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)",8499,9999,15,15.0,4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=5,2026-04-22 16:12:26
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,17990,21990,18,18.19,3.9,Intel Celeron Dual Core Processor4 GB LPDDR4X RAMChrome Operating System35.56 cm (14 Inch) DisplayMyASUS1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1505CTA-S702...,22990,26990,14,14.82,4.5,Intel Celeron Dual Core Processor4 GB LPDDR5 RAMChrome Operating System39.62 cm (15.6 inch) DisplayMyASUS1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Lenovo Yoga Slim 7 Ultra 9 185H WUXGA OLED with 1Yr ADP Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Wind...,114990,158090,27,27.26,4.7,Intel Core Ultra 9 Processor32 GB LPDDR5 RAMWindows 11 Operating System1 TB SSD35.56 cm (14 inch) Display1 Year Courier/ Carry-in Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Ultimus Pro Intel Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3CNC43BN-MB Thin a...,15905,27990,43,43.18,3.7,Intel Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Home Operating System35.81 cm (14.1 Inch) DisplayPre loaded windows APP1 Year Manufacturing Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
ASUS ExpertBook P1 (i5 14th Gen) with 1 Yr ADP Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) ...,55990,89990,37,37.78,4.3,Intel Core 5 Processor16 GB DDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Limited Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
DELL Inspiron 15 Microsoft Office Home 2024 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 1...,69990,73911,5,5.31,4.2,Intel Core i7 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 | Dell Support Assist1 Year Onsite Hardware Service,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,39990,44990,11,11.11,4.1,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,40990,50990,19,19.61,4.3,Intel Core i3 Processor (13th Gen)8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 + Microsoft 365 Basic1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,40990,50990,19,19.61,4.3,AMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 + Microsoft 365 Basic1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Lenovo IdeaPad Slim 3 with 1Yr ADP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15...,50990,59090,13,13.71,4.1,AMD Ryzen 5 Quad Core Processor16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Yr. Onsite + 1 Yr. Accidental Damage Protection,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/512 GB SSD/128 GB EMMC Storage/Chrome OS) CX1...,24990,,,,4.5,Intel Celeron Dual Core Processor4 GB LPDDR5 RAMChrome Operating System512 GB SSD35.56 cm (14 inch) DisplayMyASUS1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
DELL Inspiron 15 Microsoft Office Home 2024 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11...,54990,63416,13,13.29,4.2,Intel Core i5 Processor (13th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 | Dell Support Assist1 Year Onsite Hardware Service,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Ultimus APEX Pro Intel Pentium Quad Core N4200 - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home)...,16499,24999,34,34.0,3.5,Intel Pentium Quad Core Processor4 GB DDR3 RAM64 bit Windows 11 Home Operating System128 GB SSD35.81 cm (14.1 Inch) DisplayPre loaded windows APP1 Year Manufacturing Warranty (Battery And Charger Only 6 Month Warranty),laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,21990,30790,28,28.58,3.9,MediaTek Kompanio 520 Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 Inch) Display1 Year Carry-in Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,36990,43000,13,13.98,4.2,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Domestic Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,78990,94890,16,16.76,4.4,AMD Ryzen 7 Octa Core Processor24 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD38.86 cm (15.3 Inch) DisplayOffice Home 20241 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
HP 14 AI PC Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Laptop,82990,85991,3,3.49,4.1,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
HP AMD Ryzen 7 Octa Core - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0761AU Laptop,62990,65387,3,3.67,4.8,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Service,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB ...",40990,48990,16,16.33,4.4,"AMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year1 Year Onsite Warranty",laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Acer Aspire 3 Intel Pentium Quad Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,39990,46990,14,14.9,3.9,Intel Pentium Quad Core Processor12 GB LPDDR4X RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW),laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
DELL 14 Microsoft Office Home 2024 AMD Ryzen 5 Hexa Core AI 5 340 - (16 GB/512 GB SSD/Windows 11 Home)...,72490,92833,21,21.91,,AMD Ryzen 5 Hexa Core Processor16 GB LPDDR5X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 | Dell Support Assist1 Year Onsite Hardware Service,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
HP 14 AI PC Intel Core Ultra 7 - (24 GB/1 TB SSD/Windows 11 Home) 14-ep1181TU Thin and Light Laptop,86990,88415,1,1.61,4.1,Intel Core Ultra 7 Processor24 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,71990,77507,7,7.12,4.3,Intel Core i7 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Ho...",42990,50990,15,15.69,4.3,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=1,2026-04-22 16:12:37
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,24990,29990,16,16.67,4.3,MediaTek Helio G99 (MT8781) Processor8 GB LPDDR4X RAM64 bit Android Operating System35.81 cm (14.1 Inch) Display1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
DELL Inspiron 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin...,47990,49990,4,4.0,4.3,Intel Core 3 Processor8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD38.1 cm (15 Inch) Display1 Year Onsite Hardware Service,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (24 GB/1 TB SSD/W...,74490,87990,15,15.34,4.4,Intel Core i5 Processor (13th Gen)24 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD38.86 cm (15.3 Inch) DisplayOffice Home 20241 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
Acer Swift Neo Office 2024 + M365 Basic Intel Core Ultra 7 155U - (16 GB/512 GB SSD/Windows 11 Home) S...,64500,99990,35,35.49,4.1,Intel Core Ultra 7 Processor16 GB LPDDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,35490,43990,19,19.32,4.3,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 + Microsoft 365 Basic1 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body with 1Yr ADP Intel Core i5 13th Gen 13420H - (16 GB/5...,69990,85390,18,18.03,4.3,Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
HP Victus AMD Ryzen 7 Hexa Core 7445H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,65990,74024,10,10.85,4,AMD Ryzen 7 Hexa Core Processor16 GB DDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Limited Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,57520,59900,3,3.97,4.3,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,laptops,Flipkart,https://www.flipkart.com/search?q=laptops&page=2,2026-04-22 16:12:49
